kind	path	symbol	count	classification	mechanism	notes	success_policy	error_policy	replay_policy
raw	subset_julia_vm/src/bin/aot.rs	merge_prelude	3	independent_after_cursor	filtered vector reconstruction	AoT prelude/user definitions are reconstructed only after the user Program passes through the cursor.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/bin/sjulia.rs	compile_to_ir	3	independent_after_cursor	filtered vector reconstruction	Core-IR prelude/user definitions are reconstructed only after the user Program passes through the cursor.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/bin/sjulia.rs	run_type_stability_analysis	3	independent_after_cursor	filtered vector reconstruction	Type-stability prelude/user definitions are reconstructed only after the user Program passes through the cursor (Issue #11134).	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/repl/session.rs	store_definitions	6	already_rebased_storage	session vector push	The current eval was rebased before successful definitions, including main-inline anonymous helper bodies, are retained for later replay (Issues #11569/#11036).	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/repl/session.rs	store_runtime_nominal_activations	3	already_rebased_storage	runtime activation adoption	Reached runtime nominal source definitions retain the ordinals assigned when the current eval passed through the chronology cursor (Issues #11654/#11036).	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/repl/session.rs	store_recovered_modules	1	already_rebased_storage	reached module shell replacement	An errored eval's module shell is projected only from source and activation payloads already rebased by the REPL chronology cursor (Issues #11721/#11036).	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/repl/session.rs	recover_module_after_error	4	same_fragment_projection	filtered module reconstruction	Recovery filters and reconstructs one already-rebased Module fragment without combining an independently lowered chronology (Issues #11721/#11036).	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/aot/analyze/core_ir_analyzer.rs	add_function	1	non_core_ir_container	analysis map insert	Populates an AoT analysis map, not a lowered Program fragment.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/aot/analyze/ir_converter/mod.rs	new	2	non_core_ir_container	analysis map insert	Populates AoT converter lookup maps, not lowered Program fragments.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/aot/inference/engine/mod.rs	analyze_program	1	non_core_ir_container	inference map assignment	Stores inferred AoT type metadata, not lowered Program fragments.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/aot/inference/types.rs	add_struct	1	non_core_ir_container	inference map insert	Populates an AoT inference map, not lowered Program fragments.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/aot/ir/aot_types.rs	add_function	1	non_core_ir_container	AoT vector push	Populates AoT-native IR, not lowered Core IR.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/aot/ir/aot_types.rs	add_struct	1	non_core_ir_container	AoT vector push	Populates AoT-native IR, not lowered Core IR.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/aot/ir/basic_types.rs	add_function	1	non_core_ir_container	AoT vector push	Populates AoT basic-type metadata, not lowered Core IR.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/aot/mod.rs	collect_cranelift_debug_lines	1	non_core_ir_container	debug map insert	Populates debug-line maps, not lowered Program fragments.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_compile/src/compile/context.rs	set_primitive_types	1	non_core_ir_container	compiler context assignment	Copies primitive metadata into a compiler context, not a lowered Program.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_compile/src/compile/context_snapshot.rs	capture	1	non_core_ir_container	compiled snapshot assignment	Captures compiler state, not a lowered Program fragment.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_compile/src/compile/ir_inline.rs	inline_module	2	same_module_rewrite	module vector assignment	Rewrites function and submodule vectors within one already ordered Module.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_compile/src/compile/ir_opt.rs	optimize_module	2	same_module_rewrite	module vector assignment	Optimizes function and submodule vectors within one already ordered Module.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_compile/src/compile/pipeline_ctx.rs	build_struct_tables	2	non_core_ir_container	compiler table assignment	Stores compiled struct metadata, not a lowered Program fragment.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_compile/src/compile/preload_cache.rs	generate_preload_cache_for	1	non_core_ir_container	compiled cache map insert	Builds compiled preload metadata, not lowered Program fragments.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_compile/src/compile/cache.rs	repl_relocatable_delta_compile	5	non_core_ir_container	compiled snapshot reconstruction	Replaces compiled function and struct/abstract/primitive metadata with a verified live-aligned prefix; no lowered Program fragments are merged.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_compile/src/compile/cache.rs	adopt_runtime_nominal_activations	2	non_core_ir_container	compiled runtime metadata adoption	Appends VM-confirmed nominal metadata to an already-compiled snapshot; no independently lowered Program fragment is merged (Issue #11654).	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_compile/src/compile/cache.rs	retain_reached_nominal_prefixes	1	non_core_ir_container	compiled snapshot projection	Realigns the runtime primitive metadata after truncating an already-compiled nominal suffix; no lowered Program fragments are merged.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_compile/src/compile/type_stability/analysis_report.rs	add_function	1	non_core_ir_container	analysis vector push	Builds a type-stability report, not lowered Program fragments.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_vm/src/vm/builtins_collections.rs	add_eltype_method	1	non_core_ir_container	VM function vector push	Installs compiled VM functions, not lowered Program fragments.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_vm/src/vm/builtins_macro/eval.rs	eval_define_function_from_expr	1	non_core_ir_container	VM function vector push	Installs a runtime-eval compiled function, not lowered Program fragments.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_vm/src/vm/state.rs	new_program	1	non_core_ir_container	runtime metadata alignment	Realigns runtime primitive metadata after source-marker suffixes are split from an already-compiled program; no lowered Program fragments are merged.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_vm/src/vm/state.rs	activate_eval_abstract_type	1	non_core_ir_container	source-marker runtime publication	Publishes one reserved abstract-type metadata row at its validated source marker; no lowered Program fragments are merged.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_vm/src/vm/state.rs	activate_eval_primitive_type	1	non_core_ir_container	source-marker runtime publication	Publishes one reserved primitive-type metadata row at its validated source marker; no lowered Program fragments are merged.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_vm/src/vm/state.rs	define_runtime_nominal	1	non_core_ir_container	runtime nominal publication	Publishes one reached conditional nominal definition directly into VM metadata; no lowered Program fragment is merged (Issue #11654).	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_vm/src/vm/state.rs	install_appended_function_body	1	non_core_ir_container	VM function vector push	Installs dormant compiled delta function bodies, not lowered Program fragments; DefineEvalFunction publishes them in source order.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm_vm/src/vm/exec/call_function_variable.rs	install_accept_all_function	1	non_core_ir_container	test VM function vector push	Unit-test helper installs a compiled VM function, not a lowered Program fragment.	not_runtime_state	not_runtime_state	not_runtime_state
reviewed	subset_julia_vm_lowering/src/lowering/mod.rs	IncludedContent::merge_into	0	same_context	shared LambdaContext	Top-level and module includes pass the caller LambdaContext, so ordinals are already cumulative.	not_runtime_state	not_runtime_state	not_runtime_state
reviewed	subset_julia_vm/src/pipeline.rs	merge_prelude_into_user_program	0	independent_after_cursor	filtered vector reconstruction	Prelude/user filtering transfers definitions only after the cursor rebases the user Program.	not_runtime_state	not_runtime_state	not_runtime_state
reviewed	subset_julia_vm_compile/src/compile/base_merge.rs	merge_with_precompiled_base	0	independent_after_cursor	filtered vector reconstruction	Base/user filtering transfers definitions only after the cursor rebases the input Program.	not_runtime_state	not_runtime_state	not_runtime_state
reviewed	subset_julia_vm/src/bin/sjulia.rs	compile_to_ir	0	independent_after_cursor	filtered vector reconstruction	Core-IR prelude/user filtering occurs after the cursor call.	not_runtime_state	not_runtime_state	not_runtime_state
reviewed	subset_julia_vm/src/bin/aot.rs	merge_prelude	0	independent_after_cursor	filtered vector reconstruction	AoT prelude/user filtering occurs after the cursor call.	not_runtime_state	not_runtime_state	not_runtime_state
reviewed	subset_julia_vm/src/pipeline.rs	parse_prelude_from_source_batched	0	same_context	shared LambdaContext	Every per-file prelude fragment is lowered with one shared counter.	not_runtime_state	not_runtime_state	not_runtime_state
reviewed	subset_julia_vm/src/pipeline.rs	merge_prelude_into_user_program final collectors	0	partition_only	vector reconstruction	Function/struct/module vectors are repartitioned after chronology is established; no new fragment is introduced.	not_runtime_state	not_runtime_state	not_runtime_state
reviewed	subset_julia_vm/src/loader.rs	read_cache/write_cache	0	standalone_fragment	serialized Module	The loader restores one standalone Module and load_into_program inserts it at the using/import chronology.	not_runtime_state	not_runtime_state	not_runtime_state
reviewed	subset_julia_vm_compile/src/compile/cache.rs	persistent and seeded cache restore	0	whole_snapshot	serialized CompiledProgram	Compiled cache replay does not append lowered Program or Module definitions.	not_runtime_state	not_runtime_state	not_runtime_state
reviewed	subset_julia_vm_compile/src/compile/preload_cache.rs	preload replay	0	compiled_metadata	serialized bytecode metadata	Cached preload functions/modules are bytecode metadata, not lowered Core-IR fragments.	not_runtime_state	not_runtime_state	not_runtime_state
reviewed	subset_julia_vm/src/aot/call_graph.rs	CallGraph::filter_program	0	same_program_partition	filtered Program reconstruction	AoT reachability reconstructs a subset of one already ordered Program.	not_runtime_state	not_runtime_state	not_runtime_state
state	subset_julia_vm/src/repl/session.rs	methods:definition_activations	2	persistent_runtime_state	REPL definition transaction	Reached methods use typed activation-prefix recovery.	store_reached	typed_prefix	merge_definitions
state	subset_julia_vm_vm/src/vm/mod.rs	methods:repl_definition_activations	1	persistent_runtime_state	VM definition transaction	The VM records source markers that actually executed.	store_reached	typed_prefix	merge_definitions
state	subset_julia_vm_vm/src/vm/mod.rs	runtime_nominals:runtime_nominal_activations	1	persistent_runtime_state	VM-observed activation transaction	Conditional nominal metadata is inert until its exact source site executes.	vm_observed	exact_sites	rebuild_inert
state	subset_julia_vm_vm/src/vm/mod.rs	imports:repl_using_activations	1	persistent_runtime_state	VM-observed import transaction	Owner-qualified using/import statement identities are recorded only after their runtime publication stores execute.	vm_observed	reached_statements	rebuild_inert
state	subset_julia_vm_vm/src/vm/mod.rs	modules:repl_module_activations	1	persistent_runtime_state	VM-observed module-entry transaction	Owner-qualified module shells are recorded after binding publication and bounded by the escaped user callsite frontier.	vm_observed	inert_shell	rebuild_inert
state	subset_julia_vm/src/repl/session.rs	imports:usings	1	persistent_runtime_state	UsingImport chronology	Only reached imports are retained and later spliced in source order.	store_distinct	reached_statements	splice_chronology
state	subset_julia_vm/src/repl/session.rs	modules:RecoveredModuleReplay	1	persistent_runtime_state	recovered inert module shell	Failed module bodies replay only reached declarations, never executable failed bodies.	store_completed	inert_shell	replay_inert_shell
