issue	created_at	state_at_snapshot	class	owner	reason	title
#9237	2026-07-04T10:30:20Z	closed	4	#10462	title:serialize	iOS Editor OOMs (~4GB) on Aizawa @animate sample — result-value JSON echo serializes O(frames²) AnimatedGif
#9250	2026-07-05T00:18:24Z	closed	4	#10462	title:cache	perf: anonymous-function value at top level defeats the Base bytecode cache (~25× compile slowdown; real cause of #9158 Surface)
#9254	2026-07-05T02:14:59Z	closed	0	#9254	self-owned/no-structural-match	Bug: surface(x, y, f::Function) drops the function-valued z (renders a 2D line) once `using LinearAlgebra` is loaded after `using Plots`
#9264	2026-07-05T12:07:59Z	closed	0	#9264	self-owned/no-structural-match	Bug: === (object identity) on independently-built Expr returns true, upstream is false
#9265	2026-07-05T12:09:38Z	closed	0	#9265	self-owned/no-structural-match	Bug: scalar typed rand([rng], ::Type{T}) errors or returns wrong type (rand(rng, UInt32), rand(Int), …)
#9270	2026-07-05T12:29:12Z	closed	0	#9270	self-owned/no-structural-match	Bug: two same-seed MersenneTwister variables share state (streams not reproducible across independent instances)
#9271	2026-07-05T12:37:22Z	closed	5	#10463	title:generator	[bug] Filtered generators with a lifted body/predicate in function scope (local, incl. zero-capture) are still eagerly evaluated
#9280	2026-07-05T13:38:28Z	closed	0	#9280	self-owned/no-structural-match	Bug: nextfloat(::BigFloat) errors with "reinterpret(Int64, BigFloat): size mismatch"
#9281	2026-07-05T13:38:35Z	closed	0	#9281	self-owned/no-structural-match	Bug: chained BigFloat division `BigFloat / BigFloat / Int` degrades to Float64
#9284	2026-07-05T13:55:44Z	closed	0	#9284	self-owned/no-structural-match	Bug: top-level `let` hard scope — loop `+=` on a global prints instead of UndefVarError (julia errors)
#9285	2026-07-05T13:57:29Z	closed	6	#10464	title:lowered	Bug: rand(rng, T) scalar typed draw errors inside a generator/comprehension (captured RNG mislowered to RandArray)
#9286	2026-07-05T14:25:25Z	closed	0	#9286	self-owned/no-structural-match	Bug: exponent/significand/frexp on BigFloat error with reinterpret size mismatch (same root cause as #9280)
#9288	2026-07-05T14:28:21Z	closed	0	#9288	self-owned/no-structural-match	Bug: mixed BigFloat–Rational arithmetic errors with "Cannot convert StructRef to BigFloat"
#9291	2026-07-05T15:00:00Z	closed	7	#10465	title:fixture	Regression: for-head range with Any-inferred computed float step iterates zero times under parse_and_lower (re-breaks #7800 fixture)
#9292	2026-07-05T15:00:13Z	closed	10	#10815	title:aot	Regression: AoT lift-reversal (#9179) does not handle #9274 filtered/tuple generator lifts — test_aot_generator_expression_codegen_7046 red again
#9293	2026-07-05T15:13:59Z	closed	0	#9293	self-owned/no-structural-match	Comprehension over inline range with int start and float/Any step errors "expected I64, got Float64" (element type inferred from start only)
#9300	2026-07-05T17:17:44Z	closed	5	#10463	title:broadcast	Bug: chained broadcast comparison a .<= v .< b returns all-false
#9301	2026-07-05T17:18:01Z	closed	5	#10463	title:collect	Bug: collect over a Float16-valued generator yields Vector{Any} not Vector{Float16}
#9304	2026-07-05T17:32:34Z	closed	0	#9304	self-owned/no-structural-match	Bug: inline `big(int)//int + BigFloat` mis-inferred as BigFloat → "expected BigFloat, got StructRef"
#9312	2026-07-05T18:27:03Z	closed	0	#9312	self-owned/no-structural-match	@testset body is scope-transparent: loop accumulator raises UndefVarError in file/CLI mode (upstream @testset is a hard scope) — bigfloat_power_6790.jl CLI-red on main
#9313	2026-07-05T18:50:22Z	closed	0	#9313	self-owned/no-structural-match	Hard-scope `let` (and `@testset`) leaks body-local variables into the module global scope
#9315	2026-07-05T21:15:31Z	closed	0	#9315	self-owned/no-structural-match	Bug: true//true and 0x01//0x03 stack-overflow in Rational construction (julia returns 1//1 / 0x01//0x03)
#9316	2026-07-05T21:15:32Z	closed	0	#9316	self-owned/no-structural-match	Bug: big(2)^300 // big(3)^100 raises MethodError //(::Float64,::Float64) instead of exact Rational{BigInt}
#9317	2026-07-05T21:15:34Z	closed	0	#9317	self-owned/no-structural-match	Bug: BigFloat(1) + pi degrades to Float64 (upstream promotes to BigFloat at active precision)
#9318	2026-07-05T21:15:35Z	closed	0	#9318	self-owned/no-structural-match	Bug: significand/exponent/frexp on inline BigFloat expressions (BigFloat(2)^500 etc.) statically bind the generic Float64 method — inference misses BigFloat result type of ^ and *
#9319	2026-07-05T21:15:37Z	closed	5	#10463	title:generator	Bug: caught exception inside a filtered-generator FilterMap predicate/map leaves stale BroadcastState — later unrelated return re-invokes the stale callable (crash)
#9320	2026-07-05T21:15:39Z	closed	5	#10463	title:generator	Bug: length(filtered generator) returns the UNFILTERED base length (julia raises MethodError — SizeUnknown)
#9321	2026-07-05T21:16:18Z	closed	0	#9321	self-owned/no-structural-match	Bug: integer comprehension range with a runtime-Float bound crashes (h(n)=length([i for i in 1:n]); h(5.5) — julia returns 5)
#9322	2026-07-05T21:16:20Z	closed	5	#10463	title:eltype	Bug: mixed float-width range 0:0.5f0:6.0 yields eltype Float32 (julia promotes to Float64)
#9324	2026-07-05T21:16:23Z	closed	0	#9324	self-owned/no-structural-match	Bug: closures capturing a for-loop variable inside a @testset body share one cell (print 30 30; julia prints 10 20) — works in let/function scope
#9326	2026-07-05T21:16:52Z	closed	0	#9326	self-owned/no-structural-match	Bug: factorial(21) silently wraps to a negative Int64 (julia raises OverflowError) — error/error_overflow_arithmetic.jl CLI-red
#9327	2026-07-05T21:16:53Z	closed	0	#9327	self-owned/no-structural-match	Bug: string/print of VersionNumber renders VersionNumber(1, 2, 3) instead of 1.2.3 — version/version_comparison.jl CLI-red
#9328	2026-07-05T21:16:55Z	closed	5	#10463	title:eltype	Bug: rand(rng, Int, dims...) returns a Float64-backed array (julia: Matrix{Int64}) — typed array draw drops the eltype
#9332	2026-07-05T21:53:25Z	closed	0	#9332	self-owned/no-structural-match	BigFloat arithmetic ignores setprecision context (result carries default 256-bit precision)
#9333	2026-07-05T21:54:45Z	closed	2	#10460	title:subtyp	Epic: Real/Number subtype 演算・型 promotion の系統的パリティ不全 — 調査台帳と修正計画
#9334	2026-07-05T21:55:10Z	closed	0	#9334	self-owned/no-structural-match	Bug: promote() silently no-ops when it cannot change types — missing not_sametype guard turns promote-fallback operators into StackOverflow
#9336	2026-07-05T21:55:13Z	closed	0	#9336	self-owned/no-structural-match	Bug: mixed Signed×Unsigned integer comparisons throw InexactError instead of returning correct Bool
#9337	2026-07-05T21:55:15Z	closed	0	#9337	self-owned/no-structural-match	Bug: mixed Signed×Unsigned div/fld/cld/rem/mod ignore upstream signedness rules (828 full-matrix cells; mod(true,true)::Int64)
#9338	2026-07-05T21:55:16Z	closed	0	#9338	self-owned/no-structural-match	Bug: rem/mod between UInt128/Int128 and Float16/32/64 returns NaN
#9339	2026-07-05T21:55:18Z	closed	0	#9339	self-owned/no-structural-match	Bug: BigFloat comparison with NaN returns true; BigFloat(0.0)+(-0.0) returns -0.0 (matrix regression)
#9340	2026-07-05T21:55:20Z	closed	0	#9340	self-owned/no-structural-match	Bug: Rational vs Float ==/< compares after lossy Float64 rounding — 1//3 == 0.3333333333333333 is true
#9341	2026-07-05T21:55:21Z	closed	2	#10460	title:promotion	Bug: Irrational promotion parity — promote_type(Irrational,Float64)=Real; pi+im silently drops imaginary part; pi+big(1)→Float64; sin(pi)≠0.0
#9342	2026-07-05T21:55:23Z	closed	0	#9342	self-owned/no-structural-match	Bug: sqrt(Complex{Int}) is a fatal compile-time error even when unreachable; abs(::Complex{Float32}) widens to Float64
#9343	2026-07-05T21:55:24Z	closed	0	#9343	self-owned/no-structural-match	Bug: Bool strong-zero missing (false*Inf=NaN) and Char compares equal to Int ('a'==97 is true)
#9344	2026-07-05T21:55:26Z	closed	0	#9344	self-owned/no-structural-match	Bug: float special cases — isless(-0.0,0.0)=false; 0.5f0^2::Float64; (-8.0)^(1//3)=NaN instead of DomainError
#9345	2026-07-05T21:55:27Z	closed	5	#10463	title:eltype	Bug: range/colon operand promotion — 1:Int8(5)::UnitRange{Int8}; eltype of float ranges = Any; range(len)→LinRange; 1:big(3) eltype Int64
#9346	2026-07-05T21:55:29Z	closed	0	#9346	self-owned/no-structural-match	Bug: promote-consuming Base APIs — clamp(1,0.5,2.5)::Int64; two-arg atan(1,2.0) MethodError
#9348	2026-07-05T21:58:40Z	closed	5	#10463	title:broadcast	Bug: broadcast .<= / .>= over Float16 array gives wrong result for negative elements
#9351	2026-07-05T22:04:33Z	closed	10	#10815	title:aot	AoT inference has an independent numeric promotion table — widens Bool/narrow ints to Int64, diverging from VM runtime and upstream
#9352	2026-07-05T22:08:21Z	closed	0	#9352	self-owned/no-structural-match	Bug: 2^big(3) (Int ^ BigInt) errors 'Cannot compute power of Int64 and BigInt' instead of BigInt 8
#9353	2026-07-05T22:12:17Z	closed	5	#10463	title:generator	Bug: iterating a filtered generator in a specialized (counted-loop) function fails; upstream returns the correct value
#9358	2026-07-05T22:18:26Z	closed	5	#10463	title:generator	Bug: a try/catch used as an expression value inside a generator body evaluates to nothing
#9360	2026-07-05T22:25:52Z	closed	7	#10465	title:fixture	Fixture harness masks @testset failures and silently skips unregistered fixtures (CLI/harness divergence)
#9362	2026-07-05T22:33:25Z	closed	0	#9362	self-owned/no-structural-match	Bug: float(::Rational{UInt8}) / unsigned & Bool Rational element types mis-dispatches (errors instead of Float64)
#9363	2026-07-05T22:33:42Z	closed	0	#9363	self-owned/no-structural-match	Bug: Rational(x::Rational) single-arg identity constructor raises InternalError (loose-matched to Rational(::Int64))
#9364	2026-07-05T22:34:12Z	closed	0	#9364	self-owned/no-structural-match	Bug: string interpolation "$x" and show/repr of a struct ignore user Base.show (field-dump fallback)
#9371	2026-07-06T00:03:56Z	closed	0	#9371	self-owned/no-structural-match	Bug: show(::VersionNumber) prints 1.2.3 instead of v"1.2.3" (print/string are fixed by #9366; show still diverges)
#9372	2026-07-06T00:03:58Z	closed	0	#9372	self-owned/no-structural-match	Bug: VersionNumber prerelease is dropped at parse — v"2.0.0-rc1" == v"2.0.0" is true and ordering is wrong (upstream: semver precedence)
#9373	2026-07-06T00:04:00Z	closed	5	#10463	title:eltype	Bug: eltype of a mixed-float-width range object (0:0.5f0:6.0) is Any (julia: Float64) — collect is fixed by #9322, the lazy range still diverges
#9374	2026-07-06T00:04:02Z	closed	0	#9374	self-owned/no-structural-match	Bug: Rational{UInt8} displays 1//3 instead of 0x01//0x03 (component show form; value/type are correct after #9315)
#9375	2026-07-06T00:04:34Z	closed	0	#9375	self-owned/no-structural-match	Bug: scalar chained comparison 0 <= g() < 10 evaluates the interior operand twice (upstream: once) — dotted chains fixed by #9300, scalar path still duplicates
#9377	2026-07-06T00:04:36Z	closed	0	#9377	self-owned/no-structural-match	Integer-range comprehension/for-head fast path: non-finite / out-of-Int64 runtime Float bound silently coerced instead of raising InexactError (#9321 follow-up)
#9379	2026-07-06T00:06:17Z	closed	5	#10463	title:iterator	Bug: IteratorSize/size of a generator diverge from upstream (filtered→SizeUnknown/MethodError; unfiltered size→(5,)); trait-layer gap behind #9320
#9382	2026-07-06T00:22:50Z	closed	5	#10463	title:generator	Bug: inline Float16(i) constructor in a comprehension/generator body produces Float64 values (not Float16)
#9383	2026-07-06T00:24:59Z	closed	0	#9383	self-owned/no-structural-match	Float64(::BigInt) errors: "Cannot convert BigInt to Float64" (convert_to_f64 missing BigInt arm)
#9384	2026-07-06T00:25:28Z	closed	0	#9384	self-owned/no-structural-match	big(1) + pi returns Float64, not BigFloat (bundled +(x::Integer, y::AbstractIrrational) lumps BigInt with machine ints)
#9385	2026-07-06T00:35:05Z	closed	5	#10463	title:eltype	Bug: array comprehension [f() for ...] does not runtime-narrow the container eltype when the body type is not static (Vector{Any}; collect(f() for ...) narrows correctly)
#9393	2026-07-06T01:33:56Z	closed	5	#10463	title:iterator	Bug: value-level IteratorSize((f(x) for x in vector)) returns HasLength() instead of HasShape{1}() (array-base generator)
#9399	2026-07-06T04:30:25Z	closed	5	#10463	title:generator	Bug: sum/fold over a generator freezes the body's dynamic dispatch on the first element (sum(g(v) for v in Any[1,2.0,"s"]) = 3, julia: 6; collect dispatches correctly)
#9400	2026-07-06T04:30:27Z	closed	0	#9400	self-owned/no-structural-match	Bug: top-level method redefinition wins retroactively in script mode — call before the redefinition sees the later method (julia world age: 2 then 101; sjulia: 101, 101)
#9401	2026-07-06T05:06:07Z	closed	0	#9401	self-owned/no-structural-match	[bug] インライン Base.HasShape{1}() (値パラメータ付きパラメトリック struct のインライン構築) が 'instantiation not found' で compile error
#9405	2026-07-06T07:05:23Z	open	5	#10463	title:collect	Bug: collect/map/sum over a FILTERED generator used as a nested base fails (Generator callable field not representable)
#9407	2026-07-06T07:21:59Z	closed	0	#9407	self-owned/no-structural-match	push!(::Vector{Complex{Float64}}, ::Complex{Float64}) into a `Complex{Float64}[]` literal fails: "Cannot push Any to Complex{Float64} array"
#9409	2026-07-06T07:49:01Z	closed	0	#9409	self-owned/no-structural-match	Bug: statically no-method numeric call raises uncatchable compile-time MethodError (should be catchable runtime MethodError)
#9412	2026-07-06T07:53:49Z	closed	0	#9412	self-owned/no-structural-match	Bug: Irrational×Rational ordering hits promote-fallback recursion trap (StackOverflowError instead of comparison)
#9414	2026-07-06T07:55:22Z	closed	0	#9414	self-owned/no-structural-match	float mod loses signed zero: mod(5.0, -2.5) returns 0.0 instead of -0.0
#9416	2026-07-06T07:58:45Z	closed	0	#9416	self-owned/no-structural-match	Bug: rem/mod between Rational and Float/BigFloat/Int throws MethodError instead of promoting
#9419	2026-07-06T08:02:02Z	closed	0	#9419	self-owned/no-structural-match	range(start, stop; length=n) returns LinRange instead of StepRangeLen{…,TwicePrecision}
#9420	2026-07-06T08:02:04Z	closed	5	#10463	title:eltype	eltype(1:big(3)) is Int64 instead of BigInt (no BigInt range storage)
#9421	2026-07-06T08:02:06Z	closed	5	#10463	title:collect	collect(0:0.1:1) shows non-TwicePrecision rounding (0.30000000000000004)
#9422	2026-07-06T08:05:29Z	closed	0	#9422	self-owned/no-structural-match	Bug: rem on Rational×typemax(UInt128) aborts with uncatchable OverflowError in multi-cell runs (state-dependent)
#9424	2026-07-06T08:08:22Z	closed	0	#9424	self-owned/no-structural-match	Rational vs BigFloat ==/</<= compare inexactly (promote rounds to shared precision, not upstream infinite-precision)
#9427	2026-07-06T08:12:44Z	closed	4	#10462	title:cache	Perf regression: PR #9404 (L2 cache TypeId, #9197 S3) makes closure/Type-arg dispatch skip L2 — packages::chunk_003 6x slower (50s→294s)
#9429	2026-07-06T08:13:59Z	closed	0	#9429	self-owned/no-structural-match	Bug: rem/mod of typemin(signed) by -1 panics the VM (remainder overflow) instead of returning 0
#9436	2026-07-06T08:58:58Z	closed	0	#9436	self-owned/no-structural-match	Bug: a global bound to a captured closure poisons ALL subsequent REPL evals (1+1, using X all fail until reset) — severe secondary effect of the value→expr ceiling, structurally fixed by #9199 S3
#9438	2026-07-06T09:02:38Z	open	5	#10463	title:collect	[bug] collect of a flatten-over-generators infers Vector{Any} instead of Vector{Int64}
#9439	2026-07-06T09:07:33Z	closed	0	#9439	self-owned/no-structural-match	Pre-existing test failure on main: retired_effect_hints_are_body_provable_over_base_issue_8441 (isless effects weakened by total-order isless #9344)
#9440	2026-07-06T09:11:28Z	closed	0	#9440	self-owned/no-structural-match	Bug: Rational × Unsigned div/rem/mod result type ignores signedness rule (Rational{UInt64} instead of Rational{Int64}; 6 reduced-matrix cells)
#9441	2026-07-06T09:15:37Z	closed	0	#9441	self-owned/no-structural-match	Bug: mixed Signed×Unsigned +, -, * return signed result type (Int128(-1)*UInt128 :: Int128 instead of UInt128; 120 full-matrix cells)
#9442	2026-07-06T09:15:40Z	closed	0	#9442	self-owned/no-structural-match	Bug: mixed Signed×Unsigned true division / throws InexactError instead of returning Float64 (Int16(-1)/UInt16(5))
#9443	2026-07-06T09:15:42Z	closed	0	#9443	self-owned/no-structural-match	Bug: BigFloat cld/div with Inf and signed zero diverge (cld(Inf,-1.0)=-Inf instead of NaN; ~2000 full-matrix cells)
#9445	2026-07-06T09:26:19Z	closed	0	#9445	self-owned/no-structural-match	[bug] retired_effect_hints_are_body_provable_over_base_issue_8441 is red on main: isless effect summary regressed to Conditional
#9450	2026-07-06T10:14:00Z	closed	0	#9450	self-owned/no-structural-match	Bug: BigFloat-result cld/fld/div//mod residuals — signbit(-0.0), BigInt→BigFloat precision, generic-Real infinite dividend (residual of #9443)
#9456	2026-07-06T11:02:59Z	closed	1	#10459	reviewed:base-name-keyed-registry-identity	Bug: user Base.show for a concrete parametric instantiation (W{Int64}) is applied to ALL instantiations — W{Float64} prints W-int(1.5) (show registry keyed on base name)
#9457	2026-07-06T11:48:06Z	closed	5	#10463	title:generator	Bug: indexing a Base.Generator (g[i]) returns a value / raw-errors instead of MethodError (upstream: not indexable)
#9460	2026-07-06T12:22:12Z	closed	0	#9460	self-owned/no-structural-match	Bug: VersionNumber show-form still needs a special-case until print/show dispatch split is upstream-shaped
#9461	2026-07-06T12:23:53Z	closed	7	#10465	title:audit	Two audit scripts break on macOS bash 3.2 (nested-quote cmd-subst, declare -A); check_audit_scripts_bash3_compat.sh misses both
#9464	2026-07-06T12:25:07Z	closed	0	#9464	self-owned/no-structural-match	bug: struct names matching /^[A-Z][0-9]*$/ (e.g. S2) collide with the type-variable-name heuristic, breaking same-type Real/Number operator dispatch
#9468	2026-07-06T12:35:05Z	closed	2	#10460	title:subtyp	Contravariant type parameter {>:T} subtyping is wrong (Circle{Real} <: Shape{>:Int64} returns false)
#9469	2026-07-06T12:35:07Z	closed	0	#9469	self-owned/no-structural-match	nfields(::Tuple) returns 0 instead of the tuple length
#9470	2026-07-06T12:35:08Z	closed	0	#9470	self-owned/no-structural-match	Field access by integer index fails: isdefined(x,::Int) InternalError, getfield(::QuoteNode,::Int) TypeError
#9472	2026-07-06T12:35:12Z	closed	7	#10465	title:ratchet	71 registered fixtures are broken-but-green (masked @testset failures) — grandfathered by the #9360 @testset ratchet
#9473	2026-07-06T12:37:07Z	closed	0	#9473	self-owned/no-structural-match	precompile-base output non-deterministic again: sjulia_precompile_determinism_tests::precompile_base_is_deterministic_across_processes fails on main (regression of #4438)
#9480	2026-07-06T13:33:34Z	closed	2	#10460	reviewed:typevar-name-heuristic	Struct named like a TypeVar (`^[A-Z][0-9]+$`, e.g. `V2`) widens array eltype to `Vector{Any}`
#9492	2026-07-06T15:35:14Z	closed	0	#9492	self-owned/no-structural-match	push!(Complex{Float64}[], z) fails: 'Cannot push Any to Complex{Float64} array'
#9493	2026-07-06T15:36:53Z	closed	0	#9493	self-owned/no-structural-match	Bug: strict soft-scope pass ignores global declarations inside nested loops (UndefVarError on upstream-valid code)
#9498	2026-07-06T15:59:01Z	closed	4	#10462	title:cache	Stale base_cache_schema_fingerprint.txt: S4 (#9198) bumped CACHE_VERSION 86→87 without updating the snapshot → audit red on main
#9505	2026-07-07T00:16:41Z	closed	0	#9505	self-owned/no-structural-match	[bug] 型付き複素内包表記 Complex{Float64}[<complex式> for ...] が Cannot convert StructRef→Float64 で実行時エラー
#9507	2026-07-07T00:38:49Z	closed	0	#9507	self-owned/no-structural-match	Dynamic float `%` (SremInt) diverges from Julia rem: floor-mod semantics for mixed/Float32/Float16 pairs, NaN for an infinite divisor
#9510	2026-07-07T00:48:20Z	closed	0	#9510	self-owned/no-structural-match	Float32 colon range length uses widened-Float64 arithmetic: length(0.1f0:0.1f0:0.5f0) == 4 (upstream 5)
#9511	2026-07-07T00:53:00Z	closed	0	#9511	self-owned/no-structural-match	Array literal with Irrational element stays Vector{Any} (upstream promotes to Vector{Float64})
#9513	2026-07-07T01:01:58Z	closed	0	#9513	self-owned/no-structural-match	Bug: splatted self-recursive promote call f(promote(x,y)...) re-dispatches to the same method instead of the promoted diagonal method (infinite recursion)
#9514	2026-07-07T01:06:50Z	closed	0	#9514	self-owned/no-structural-match	Bug: rem/mod with an infinite Rational divisor returns invalid 0//0 instead of upstream ArgumentError
#9515	2026-07-07T01:07:03Z	closed	0	#9515	self-owned/no-structural-match	BigFloat mixed-operand residuals: signed-zero propagation (BigInt/Bool/Float16 operands), Bool strong-zero, exact-integer mod (280 full-matrix cells, residual of #9450)
#9516	2026-07-07T01:08:01Z	closed	0	#9516	self-owned/no-structural-match	Dynamic == between an Any-typed Vector{Any} holding BigInt and Vector{Int64} returns false
#9518	2026-07-07T01:08:35Z	closed	0	#9518	self-owned/no-structural-match	BigInt range endpoints beyond Float64-exact range are silently corrupted (1:big(10)^20)
#9519	2026-07-07T01:08:40Z	closed	0	#9519	self-owned/no-structural-match	typeof of a typed StepRange renders the step-type parameter as the element type (StepRange{BigInt, BigInt} vs upstream StepRange{BigInt, Int64})
#9520	2026-07-07T01:08:42Z	closed	0	#9520	self-owned/no-structural-match	Bug: Int128 mod/rem near typemax overflows in the native I128 SremInt arm — mod(Int128(9), typemax(Int128)) returns 7, rem returns a huge negative (panic in dev profiles)
#9521	2026-07-07T01:13:08Z	closed	0	#9521	self-owned/no-structural-match	Bug: rem(typemin(Int64), -1) still panics (remainder overflow) via the static SremInt path in intrinsics_exec.rs — #9429 follow-up
#9524	2026-07-07T01:23:10Z	closed	2	#10460	title:type inference	Bug: state-dependent uncatchable abort in + (Rational{Int64}, Float32) — 'Inconsistent type inference for T: Float32 vs Int64' from Rational() after a mixed-type rem/mod sweep
#9527	2026-07-07T01:25:56Z	closed	0	#9527	self-owned/no-structural-match	Bug: +/- between Rational and Unsigned wrap on overflow instead of upstream's checked OverflowError
#9528	2026-07-07T01:32:05Z	closed	0	#9528	self-owned/no-structural-match	Inference fixed-fallback Int64 for div/rem/mod coerces float results in nested call contexts (signbit(mod(Int64(5), -2.6)) == false)
#9529	2026-07-07T01:32:07Z	closed	0	#9529	self-owned/no-structural-match	signbit(Float16(-0.0)) and signbit(Float32(-0.0)) return false (negative-zero sign dropped for narrow floats)
#9533	2026-07-07T01:45:51Z	closed	5	#10463	title:broadcast	Broadcasting over a Tuple returns a Vector (float.) or MethodError (abs.) instead of a Tuple
#9540	2026-07-07T02:32:08Z	closed	0	#9540	self-owned/no-structural-match	Prevent tuple reflection field-name parity regressions
#9546	2026-07-07T02:53:58Z	closed	0	#9546	self-owned/no-structural-match	Prevent struct-like reflection field-index parity regressions
#9547	2026-07-07T03:04:34Z	closed	5	#10463	title:broadcast	Bug: tuple broadcast over dotted subtype returns BitVector instead of Tuple
#9557	2026-07-07T04:17:36Z	closed	0	#9557	self-owned/no-structural-match	[bug] push!(expr.args, ::Int) が整数を Float64 に強制変換する(carrier 固有)
#9573	2026-07-07T05:39:28Z	closed	0	#9573	self-owned/no-structural-match	Three static-grep audits reference moved/removed source paths (silent drift surfaced by #9463 self-tests)
#9576	2026-07-07T05:58:29Z	closed	0	#9576	self-owned/no-structural-match	Bug: IO stream identity comparison returns false for the same handle
#9578	2026-07-07T06:06:20Z	closed	0	#9578	self-owned/no-structural-match	Bug: write(io, numeric) prints decimal text instead of raw bytes
#9579	2026-07-07T06:14:17Z	closed	0	#9579	self-owned/no-structural-match	main build broken: get_base() format! has 66 placeholders for 67 args (CHECKED_JL unpaired after #9536 auto-merge)
#9582	2026-07-07T06:52:41Z	closed	0	#9582	self-owned/no-structural-match	Prevention: keep reference-like Value variants in identity equality
#9585	2026-07-07T07:13:52Z	closed	0	#9585	self-owned/no-structural-match	print/println of an Unsigned shows hex (0x02) instead of decimal (2)
#9586	2026-07-07T07:15:21Z	closed	0	#9586	self-owned/no-structural-match	Test drift: dump-bytecode test #8147 asserts `tmp` but SSA renames the local to `#ssa1`
#9589	2026-07-07T07:59:59Z	closed	5	#10463	title:collect	Bug: invalid UTF-8 String values lose String semantics in dispatch, collect, and repr
#9593	2026-07-07T08:33:47Z	closed	0	#9593	self-owned/no-structural-match	Prevention: require semantic-type coverage for new Value payload variants
#9599	2026-07-07T08:54:54Z	closed	0	#9599	self-owned/no-structural-match	precision(::BigFloat) returns 0 for any zero-valued BigFloat (should be the allocation precision)
#9603	2026-07-07T09:23:07Z	closed	0	#9603	self-owned/no-structural-match	Mixed BigFloat integer operands are pre-rounded under setprecision
#9605	2026-07-07T09:28:30Z	closed	0	#9605	self-owned/no-structural-match	Prevention: cover exact integer operands in BigFloat setprecision paths
#9608	2026-07-07T09:44:47Z	closed	0	#9608	self-owned/no-structural-match	Int128 power widens to BigInt instead of preserving Int128
#9616	2026-07-07T10:27:22Z	closed	0	#9616	self-owned/no-structural-match	[prevention] Keep Rational zero-denominator sentinels and 0//0 rejection covered across constructor families
#9619	2026-07-07T10:40:08Z	closed	0	#9619	self-owned/no-structural-match	Bug: macro quote-local variable is not hygienic when escaped loop mutates global
#9620	2026-07-07T10:46:01Z	closed	0	#9620	self-owned/no-structural-match	[prevention] Keep splatted recursive promote dispatch aligned with value-based runtime dispatch
#9627	2026-07-07T11:30:02Z	closed	2	#10460	title:typevar	Prevention: preserve lower-bound TypeVar semantics across type representations
#9628	2026-07-07T11:30:24Z	closed	0	#9628	self-owned/no-structural-match	Fix standalone subset_julia_vm_types test build serde rc feature
#9632	2026-07-07T11:58:39Z	closed	6	#10464	title:lowering	Prevention: cover chained-comparison single-evaluation lowering across scalar and dotted paths
#9641	2026-07-07T12:50:47Z	closed	0	#9641	self-owned/no-structural-match	Fix mainline clippy failure in type-core binder rebinding
#9642	2026-07-07T12:59:40Z	closed	0	#9642	self-owned/no-structural-match	Bug: static dispatch drops Array{T,N} rank for similar-created 3D arrays
#9644	2026-07-07T13:15:24Z	closed	0	#9644	self-owned/no-structural-match	Prevent mainline clippy regressions during parallel merge windows
