path	line	policy	family	issue	rationale	ccall_site
base/Terminals.jl	139	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_tty_set_mode, Int32, (Ptr{Cvoid},Int32), t.in_stream.handle::Ptr{Cvoid}, raw) == 0
base/Terminals.jl	144	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_tty_set_mode, Int32, (Ptr{Cvoid},Int32), t.in_stream.handle::Ptr{Cvoid}, raw) == 0
base/array.jl	198	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	allocatedinline(@nospecialize T::Type) = (@_total_meta; ccall(:jl_stored_inline, Cint, (Any,), T) != Cint(0))
base/asyncevent.jl	26	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	err = ccall(:uv_async_init, Cint, (Ptr{Cvoid}, Ptr{Cvoid}, Ptr{Cvoid}),
base/asyncevent.jl	127	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	err = ccall(:uv_timer_init, Cint, (Ptr{Cvoid}, Ptr{Cvoid}), loop, this)
base/asyncevent.jl	130	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	ccall(:uv_update_time, Cvoid, (Ptr{Cvoid},), loop)
base/asyncevent.jl	131	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	err = ccall(:uv_timer_start, Cint, (Ptr{Cvoid}, Ptr{Cvoid}, UInt64, UInt64),
base/asyncevent.jl	215	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_close_uv, Cvoid, (Ptr{Cvoid},), t)
base/asyncevent.jl	247	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_close_uv, Cvoid, (Ptr{Cvoid},), t.handle) # this will call Libc.free
base/asyncevent.jl	290	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	if ccall(:uv_timer_get_repeat, UInt64, (Ptr{Cvoid},), t) == 0
base/asyncevent.jl	294	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_close_uv, Cvoid, (Ptr{Cvoid},), t)
base/atomics.jl	445	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_gc_safepoint, Cvoid, ())
base/boot.jl	283	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_toplevel_eval_in, Any, (Any, Any),
base/boot.jl	338	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	UnionAll(@nospecialize(v), @nospecialize(t)) = ccall(:jl_type_unionall, Any, (Any, Any), v::TypeVar, t)
base/boot.jl	354	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	has_free_typevars(@nospecialize t) = (@_total_meta; ccall(:jl_has_free_typevars, Int32, (Any,), t) === Int32(1))
base/boot.jl	390	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	UndefVarError(var::Symbol) = new(var, ccall(:jl_get_tls_world_age, UInt, ()))
base/boot.jl	391	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	UndefVarError(var::Symbol, @nospecialize scope) = new(var, ccall(:jl_get_tls_world_age, UInt, ()), scope)
base/boot.jl	486	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	getptls() = ccall(:jl_get_ptls_states, Ptr{Cvoid}, ())
base/boot.jl	488	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	include(m::Module, fname::String) = (@noinline; ccall(:jl_load_, Any, (Any, Any), m, fname))
base/boot.jl	489	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	eval(m::Module, @nospecialize(e)) = (@noinline; ccall(:jl_toplevel_eval_in, Any, (Any, Any), m, e))
base/boot.jl	507	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	WeakRef(@nospecialize(v)) = ccall(:jl_gc_new_weakref_th, Ref{WeakRef},
base/boot.jl	569	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	return ccall(:jl_new_codeinst, Ref{CodeInstance},
base/boot.jl	574	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	GlobalRef(m::Module, s::Symbol) = ccall(:jl_module_globalref, Ref{GlobalRef}, (Any, Any), m, s)
base/boot.jl	575	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	Module(name::Symbol=:anonymous, std_imports::Bool=true, default_names::Bool=true) = ccall(:jl_f_new_module, Ref{Module}, (Any, Bool, Bool), name, std_imports, default_names)
base/boot.jl	578	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	return ccall(:jl_new_task, Ref{Task}, (Any, Any, Int), f, completion_future, reserved_stack)
base/boot.jl	690	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	return _Symbol(ccall(:jl_string_ptr, Ptr{UInt8}, (Any,), s), sizeof(s), s)
base/boot.jl	754	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	(ccall(:jl_uv_puts, Cvoid, (Ptr{Cvoid}, Ptr{UInt8}, UInt), io_pointer(io), x, nb); nb)
base/boot.jl	756	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	(ccall(:jl_uv_puts, Cvoid, (Ptr{Cvoid}, Ptr{UInt8}, Int), io_pointer(io), x, nb); nb)
base/boot.jl	758	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	(ccall(:jl_uv_putb, Cvoid, (Ptr{Cvoid}, UInt8), io_pointer(io), x); 1)
base/boot.jl	761	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	unsafe_write(io, ccall(:jl_string_ptr, Ptr{UInt8}, (Any,), x), nb)
base/boot.jl	765	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	show(io::IO, @nospecialize x) = ccall(:jl_static_show, Cvoid, (Ptr{Cvoid}, Any), io_pointer(io), x)
base/boot.jl	766	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	print(io::IO, x::AbstractChar) = ccall(:jl_uv_putc, Cvoid, (Ptr{Cvoid}, Char), io_pointer(io), x)
base/boot.jl	1039	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	world = ccall(:jl_get_tls_world_age, UInt, ()) # tls_world_age()
base/boot.jl	1040	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	return Intrinsics.not_int(ccall(:jl_gf_invoke_lookup, Any, (Any, Any, UInt), tt, nothing, world) === nothing)
base/boot.jl	1086	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_set_istopmod, Cvoid, (Any, Bool), Core, true)
base/checked.jl	65	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	const llvm_version = Int(ccall(:jl_get_LLVM_VERSION, UInt32, ()))
base/cmem.jl	14	A	string-memory	#9570	Memory/string primitives must be VM-owned or pure-Rust helpers, not arbitrary native calls.	ccall(:memcpy, Ptr{Cvoid}, (Ptr{Cvoid}, Ptr{Cvoid}, Csize_t), dst, src, n)
base/cmem.jl	28	A	string-memory	#9570	Memory/string primitives must be VM-owned or pure-Rust helpers, not arbitrary native calls.	ccall(:memmove, Ptr{Cvoid}, (Ptr{Cvoid}, Ptr{Cvoid}, Csize_t), dst, src, n)
base/cmem.jl	42	A	string-memory	#9570	Memory/string primitives must be VM-owned or pure-Rust helpers, not arbitrary native calls.	ccall(:memset, Ptr{Cvoid}, (Ptr{Cvoid}, Cint, Csize_t), p, val, n)
base/cmem.jl	56	A	string-memory	#9570	Memory/string primitives must be VM-owned or pure-Rust helpers, not arbitrary native calls.	ccall(:memcmp, Cint, (Ptr{Cvoid}, Ptr{Cvoid}, Csize_t), a, b, n % Csize_t) % Int
base/condition.jl	7	C	docs-example	#9570	Commented/documentation-only native call text is not a shipped sjulia surface.	#try; error(); catch; ccall(:jlbacktrace, Cvoid, ()); end
base/condition.jl	100	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_set_task_tid, Cint, (Any, Cint), waiter, tid-1)
base/cpuid.jl	78	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	test_cpu_feature(feature::UInt32) = ccall(:jl_test_cpu_feature, Bool, (UInt32,), feature)
base/c.jl	81	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	if ccall(:jl_is_char_signed, Ref{Bool}, ())
base/c.jl	94	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	if ccall(:jl_get_UNAME, Any, ()) === :NT
base/c.jl	125	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	if ccall(:jl_get_UNAME, Any, ()) !== :NT
base/c.jl	126	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	const sizeof_mode_t = ccall(:jl_sizeof_mode_t, Cint, ())
base/c.jl	145	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	sigatomic_begin() = ccall(:jl_sigatomic_begin, Cvoid, ())
base/c.jl	146	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	sigatomic_end() = ccall(:jl_sigatomic_end, Cvoid, ())
base/c.jl	203	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_exit_on_sigint, Cvoid, (Cint,), on)
base/c.jl	207	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_extern_c, Cvoid, (Any, Any, Any), name, rt, sigt)
base/c.jl	450	C	user-native-boundary	#9570	User-visible ccall/threadcall syntax is unsupported by design under the shared WASM+iOS requirement.	macro ccall(exprs...)
base/deepcopy.jl	63	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	y = ccall(:jl_new_struct_uninit, Any, (Any,), T)
base/deepcopy.jl	71	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_set_nth_field, Cvoid, (Any, Csize_t, Any), y, i-1, xi)
base/deepcopy.jl	90	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	y = ccall(:jl_new_structv, Any, (Any, Ptr{Any}, UInt32), T, flds, nf)
base/deprecated.jl	317	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	deprecate(m::Module, s::Symbol, flag=1) = ccall(:jl_deprecate_binding, Cvoid, (Any, Any, Cint), m, s, flag)
base/docs/basedocs.jl	170	C	docs-example	#9570	Documentation examples are not a shipped sjulia native boundary.	ccall((:foo_init, :libfoo), Cvoid, ())
base/docs/basedocs.jl	171	C	docs-example	#9570	Documentation examples are not a shipped sjulia native boundary.	foo_data_ptr[] = ccall((:foo_data, :libfoo), Ptr{Cvoid}, ())
base/docs/basedocs.jl	1360	C	docs-example	#9570	Documentation examples are not a shipped sjulia native boundary.	ccall((function_name, library), returntype, (argtype1, ...), argvalue1, ...)
base/docs/basedocs.jl	1361	C	docs-example	#9570	Documentation examples are not a shipped sjulia native boundary.	ccall(function_name, returntype, (argtype1, ...), argvalue1, ...)
base/docs/basedocs.jl	1362	C	docs-example	#9570	Documentation examples are not a shipped sjulia native boundary.	ccall(function_pointer, returntype, (argtype1, ...), argvalue1, ...)
base/env.jl	23	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	_getenvlen(var::Vector{UInt16}) = ccall(:GetEnvironmentVariableW,stdcall,UInt32,(Ptr{UInt16},Ptr{UInt16},UInt32),var,C_NULL,0)
base/env.jl	34	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	ret = ccall(:GetEnvironmentVariableW,stdcall,UInt32,(Ptr{UInt16},Ptr{UInt16},UInt32),var,val,len)
base/env.jl	44	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	ret = ccall(:SetEnvironmentVariableW,stdcall,Int32,(Ptr{UInt16},Ptr{UInt16}),var,val)
base/env.jl	51	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	ret = ccall(:SetEnvironmentVariableW,stdcall,Int32,(Ptr{UInt16},Ptr{UInt16}),var,C_NULL)
base/env.jl	55	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	_getenv(var::AbstractString) = ccall(:getenv, Cstring, (Cstring,), var)
base/env.jl	64	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	ret = ccall(:setenv, Int32, (Cstring,Cstring,Int32), var, val, overwrite)
base/env.jl	69	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	ret = ccall(:unsetenv, Int32, (Cstring,), var)
base/env.jl	179	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	GESW() = (pos = ccall(:GetEnvironmentStringsW, stdcall, Ptr{UInt16}, ()); (pos, pos))
base/env.jl	185	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	result = ccall(:LCMapStringW, stdcall, Cint, (UInt32, UInt32, Ptr{UInt16}, Cint, Ptr{UInt16}, Cint),
base/env.jl	193	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	ccall(:FreeEnvironmentStringsW, stdcall, Int32, (Ptr{UInt16},), block[2])
base/env.jl	198	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	len = ccall(:wcslen, UInt, (Ptr{UInt16},), pos)
base/env.jl	218	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	env = ccall(:jl_environ, Any, (Int32,), i)
base/errorshow.jl	422	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	stderr_stream = ccall(:jl_stderr_stream, Ptr{Cvoid}, ())
base/errorshow.jl	423	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_printf, Cint, (Ptr{Cvoid},Cstring), stderr_stream, msg)
base/errorshow.jl	424	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_printf, Cint, (Ptr{Cvoid},Cstring), stderr_stream, ":\n")
base/errorshow.jl	425	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_static_show, Csize_t, (Ptr{Cvoid},Any), stderr_stream, err)
base/errorshow.jl	426	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_printf, Cint, (Ptr{Cvoid},Cstring), stderr_stream, "\n")
base/error.jl	71	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	rethrow() = ccall(:jl_rethrow, Bottom, ())
base/error.jl	72	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	rethrow(@nospecialize(e)) = ccall(:jl_rethrow_other, Bottom, (Any,), e)
base/error.jl	124	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	bt1, bt2 = ccall(:jl_backtrace_from_here, Ref{SimpleVector}, (Cint, Cint), false, skip)
base/error.jl	134	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	bt, bt2 = ccall(:jl_get_backtrace, Ref{SimpleVector}, ())
base/error.jl	161	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	raw = ccall(:jl_get_excstack, Any, (Any,Cint,Cint), task, backtrace, typemax(Cint))::Vector{Any}
base/essentials.jl	184	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	_nameof(m::Module) = ccall(:jl_module_name, Ref{Symbol}, (Any,), m)
base/essentials.jl	188	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	_nameof(ccall(:jl_base_relative_to, Any, (Any,), __module__)::Module) === :Compiler
base/essentials.jl	400	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	nameof(m::Module) = (@_total_meta; ccall(:jl_module_name, Ref{Symbol}, (Any,), m))
base/essentials.jl	567	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	body = ccall(:jl_widen_diagonal, Any, (Any, Any), t, troot)
base/essentials.jl	693	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	unsafe_convert(::Type{Ptr{UInt8}}, s::String) = ccall(:jl_string_ptr, Ptr{UInt8}, (Any,), s)
base/essentials.jl	694	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	unsafe_convert(::Type{Ptr{Int8}}, s::String) = ccall(:jl_string_ptr, Ptr{Int8}, (Any,), s)
base/experimental.jl	445	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_check_top_level_effect, Cvoid, (Any, Cstring), mod, "@MethodTable")
base/experimental.jl	446	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_new_method_table, Any, (Any, Any), name, mod)
base/experimental.jl	495	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_add_entrypoint, Int32, (Any,), argt)
base/experimental.jl	506	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	disable_new_worlds() = ccall(:jl_disable_new_worlds, Cvoid, ())
base/experimental.jl	523	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_task_metrics_enable, Cvoid, ())
base/experimental.jl	525	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_task_metrics_disable, Cvoid, ())
base/expr.jl	14	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	gensym() = ccall(:jl_gensym, Ref{Symbol}, ())
base/expr.jl	16	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	gensym(s::String) = ccall(:jl_tagged_gensym, Ref{Symbol}, (Ptr{UInt8}, Csize_t), s, sizeof(s))
base/expr.jl	19	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	gensym(s::Symbol) = ccall(:jl_tagged_gensym, Ref{Symbol}, (Ptr{UInt8}, Csize_t), s, -1 % Csize_t)
base/expr.jl	80	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	cnew = ccall(:jl_copy_code_info, Ref{CodeInfo}, (Any,), c)
base/expr.jl	126	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_macroexpand, Any, (Any, Any), x, m)
base/expr.jl	128	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ccall(:jl_macroexpand1, Any, (Any, Any), x, m)
base/expr.jl	1668	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ci = ccall(:jl_expand, Any, (Any, Any), ex, defmod)
base/fastmath.jl	305	A	llvm-intrinsic	#9570	LLVM intrinsic spelling is a compiler-owned intrinsic boundary, not a user-visible native call surface.	pow_fast(x::Float64, y::Int32) = ccall("llvm.powi", llvmcall, Float64, (Float64, Int32), x, y)
base/fastmath.jl	306	A	llvm-intrinsic	#9570	LLVM intrinsic spelling is a compiler-owned intrinsic boundary, not a user-visible native call surface.	pow_fast(x::Float32, y::Int32) = ccall("llvm.powi", llvmcall, Float32, (Float32, Int32), x, y)
base/filesystem.jl	157	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	uv_fs_req_cleanup(req) = ccall(:uv_fs_req_cleanup, Cvoid, (Ptr{Cvoid},), req)
base/filesystem.jl	185	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	ret = ccall(:uv_fs_open, Int32,
base/filesystem.jl	188	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	handle = ccall(:uv_fs_get_result, Cssize_t, (Ptr{Cvoid},), req)
base/filesystem.jl	208	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	err = ccall(:jl_fs_close, Int32, (OS_HANDLE,), f.handle)
base/filesystem.jl	222	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	result = ccall(:jl_fs_sendfile, Int32, (OS_HANDLE, OS_HANDLE, Int64, Csize_t),
base/filesystem.jl	235	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	err = ccall(:jl_fs_write, Int32, (OS_HANDLE, Ptr{UInt8}, Csize_t, Int64),
base/filesystem.jl	246	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	err = ccall(:uv_fs_ftruncate, Int32,
base/filesystem.jl	257	A	os-libuv-io	#9570	If supported, this must be a curated Rust host/OS boundary with WASM+iOS fallbacks.	err = ccall(:uv_fs_futime, Int32,
base/filesystem.jl	268	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ret = ccall(:jl_fs_read, Int32, (OS_HANDLE, Ptr{Cvoid}, Csize_t),
base/filesystem.jl	301	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ret = ccall(:jl_fs_read, Int32, (OS_HANDLE, Ptr{Cvoid}, Csize_t),
base/filesystem.jl	317	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ret = ccall(:jl_fs_read, Int32, (OS_HANDLE, Ptr{Cvoid}, Csize_t),
base/filesystem.jl	331	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ret = ccall(:jl_lseek, Int64, (OS_HANDLE, Int64, Int32), f.handle, n, SEEK_SET)
base/filesystem.jl	337	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ret = ccall(:jl_lseek, Int64, (OS_HANDLE, Int64, Int32), f.handle, 0, SEEK_END)
base/filesystem.jl	343	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ret = ccall(:jl_lseek, Int64, (OS_HANDLE, Int64, Int32), f.handle, n, SEEK_CUR)
base/filesystem.jl	350	A	julia-runtime	#9570	Julia runtime primitive mirrored by VM/compiler metadata or a curated Rust intrinsic.	ret = ccall(:jl_lseek, Int64, (OS_HANDLE, Int64, Int32), f.handle, 0, SEEK_CUR)
