# Rust-side semantics classification (Issue #8672, parent #8648).
# Categories: intrinsic (RUST_BOUNDARY_JUSTIFICATION.md conditions 1-3) |
#   perf-measured (condition 4 with recorded benchmark) |
#   perf-pending  (condition 4 candidate, benchmark 計測待ち) |
#   migratable    (Julia-expressible; pure-julia-migration backlog) |
#   pure-julia-first (public name already owned by a Pure Julia definition; Rust is fallback).
# Joined into scripts/inventory_rust_semantics.sh output. Keep sorted by kind, then variant.
kind	key	category	evidence
builtin	ComplexScaleTpRange	intrinsic	condition 3: operates on VM-native TwicePrecision range internals that Pure Julia cannot access directly (Issue #9659)
builtin	Compose	pure-julia-first	Public `compose`/`∘` methods live in base/operators.jl and call the internal `_compose` boundary; remaining Rust carrier is a fallback/runtime callable representation (Issue #8779)
builtin	ComposeEffects	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	ComposeExceptionType	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Cond	pure-julia-first	Pure Julia definition owns the public name (stdlib/LinearAlgebra/src/LinearAlgebra.jl); Rust handler is a dispatch fallback / fast path
builtin	Convert	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	Count	pure-julia-first	Pure Julia definition owns the public name (base/genericmemory.jl); Rust handler is a dispatch fallback / fast path
builtin	Countlines	migratable	pure Julia over `eachline`/`read` primitives; upstream base/io.jl is pure Julia
builtin	CountOnes	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Cp	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	_DatatypeAlignment	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Deepcopy	pure-julia-first	Public `deepcopy` lives in base/deepcopy.jl and calls internal `_deepcopy`; Rust recursively copies VM heap/ref/memory cells that Pure Julia cannot directly access yet (Issue #8779)
builtin	DeleteAt	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	Det	pure-julia-first	Pure Julia definition owns the public name (stdlib/LinearAlgebra/src/LinearAlgebra.jl); Rust handler is a dispatch fallback / fast path
builtin	DictDelete	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	DictEmpty	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	DictGet	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	DictGetBang	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	DictGetkey	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	DictHasKey	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	DictKeys	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	DictMergeBang	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	DictPairs	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	DictPop	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	DictSet	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	DictValues	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	Displaysize	pure-julia-first	Pure Julia definition owns the public name (base/io.jl); Rust handler is a dispatch fallback / fast path
builtin	EmitDisplayArtifact	intrinsic	condition 1/3: host display artifact bridge and VM display sink are external runtime state (Issue #9262)
builtin	Eachline	pure-julia-first	Pure Julia definition owns the public name (base/io.jl); Rust handler is a dispatch fallback / fast path
builtin	Egal	intrinsic	condition 3: `===` is `jl_egal` (C) in upstream (julia/src/builtins.c); object identity needs VM layout access
builtin	Eigen	pure-julia-first	Pure Julia definition owns the public name (stdlib/LinearAlgebra/src/LinearAlgebra.jl); Rust handler is a dispatch fallback / fast path
builtin	Eigvals	pure-julia-first	Pure Julia definition owns the public name (stdlib/LinearAlgebra/src/LinearAlgebra.jl); Rust handler is a dispatch fallback / fast path
builtin	_Eltype	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Eltype	pure-julia-first	Pure Julia definition owns the public name (base/abstractarray.jl); Rust handler is a dispatch fallback / fast path
builtin	EndsWithRegex	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Eof	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Esc	intrinsic	condition 3: macro hygiene marker consumed by the Rust lowering pipeline
builtin	Eval	intrinsic	condition 3: `eval` executes lowering/compiler on VM internal state
builtin	EvalDefinedCall	intrinsic	condition 3: compiler-internal trampoline body for a runtime-`eval`-defined method (Issue #8647), never routed from Julia source
builtin	EvalFile	pure-julia-first	Pure Julia definition owns the public name (base/meta.jl); Rust handler is a dispatch fallback / fast path
builtin	ExprNew	intrinsic	condition 3: `Expr` construction is the `_expr` C builtin in upstream (julia/src/builtins.c)
builtin	ExprNewWithSplat	intrinsic	condition 3: `Expr` construction is the `_expr` C builtin in upstream
builtin	_Fieldnames	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	_Fieldoffset	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	_Fieldtypes	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Filesize	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Flush	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): IO stream flush boundary
builtin	Float16	intrinsic	underscored `_to_float16` conversion boundary; public Float16(x) is a Pure Julia wrapper (Issue #8777)
builtin	Float32	intrinsic	underscored `_to_float32` conversion boundary; public Float32(x) is a Pure Julia wrapper (Issue #8777)
builtin	Float64	pure-julia-first	Pure Julia definition owns the public name (internal/prelude_aot.jl); Rust handler is a dispatch fallback / fast path
builtin	FloatConv	pure-julia-first	Pure Julia definition owns the public name (base/complex.jl); Rust handler is a dispatch fallback / fast path
builtin	Floor	pure-julia-first	Pure Julia definition owns the public name (base/floatfuncs.jl); Rust handler is a dispatch fallback / fast path
builtin	FloorDigits	pure-julia-first	Pure Julia definition owns the public name (base/floatfuncs.jl); Rust handler is a dispatch fallback / fast path
builtin	FloorSigDigits	pure-julia-first	Pure Julia definition owns the public name (base/floatfuncs.jl); Rust handler is a dispatch fallback / fast path
builtin	Fma	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	_FunctionName	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	GeneratedEval	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Gensym	intrinsic	condition 3: symbol-table/counter state in the VM (upstream jl_gensym, C)
builtin	_Getfield	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Getfield	intrinsic	condition 3: `getfield` is a C builtin in upstream (julia/src/builtins.c); field layout access
builtin	GetIndex	pure-julia-first	Pure Julia definition owns the public name (base/abstractarray.jl); Rust handler is a dispatch fallback / fast path
builtin	GetZeroSubnormals	intrinsic	condition 1: reads hardware FP control state
builtin	GlobalRefNew	intrinsic	condition 3: GlobalRef is a VM AST node type (upstream boot.jl `new`)
builtin	_Hash	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Hash	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	HasMethod	intrinsic	condition 3: method table query (upstream jl_method_exists path)
builtin	Homedir	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	In	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	IncludeDependency	intrinsic	condition 3: loading/precompile machinery touches VM internal state (upstream base/loading.jl + jl_)
builtin	IncludeString	pure-julia-first	Pure Julia definition owns the public name (base/meta.jl); Rust handler is a dispatch fallback / fast path
builtin	Insert	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	Int128	intrinsic	underscored `_to_int128` conversion boundary; public Int128(x) is a Pure Julia wrapper (Issue #8777)
builtin	Int16	intrinsic	underscored `_to_int16` conversion boundary; public Int16(x) is a Pure Julia wrapper (Issue #8777)
builtin	Int32	intrinsic	underscored `_to_int32` conversion boundary; public Int32(x) is a Pure Julia wrapper (Issue #8777)
builtin	Int64	pure-julia-first	Pure Julia definition owns the public name (internal/prelude_aot.jl); Rust handler is a dispatch fallback / fast path
builtin	Int8	intrinsic	underscored `_to_int8` conversion boundary; public Int8(x) is a Pure Julia wrapper (Issue #8777)
builtin	IntToChar	pure-julia-first	Public `Char(x::Integer)` lives in base/strings/basic.jl and calls internal `_int_to_char`; Rust remains the codepoint-to-Char storage boundary (Issue #8780)
builtin	Inv	pure-julia-first	Pure Julia definition owns the public name (base/gmp.jl); Rust handler is a dispatch fallback / fast path
builtin	IOBufferFromString	migratable	upstream IOBuffer is pure Julia over Memory (base/iobuffer.jl); Memory backing exists in sjulia
builtin	IOBufferNew	migratable	upstream IOBuffer is pure Julia over Memory (base/iobuffer.jl); Memory backing exists in sjulia
builtin	IOPrint	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	IOWrite	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Isa	intrinsic	condition 3: `isa` is a C builtin in upstream; VM type check
builtin	_Isabstracttype	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Isbitstype	intrinsic	condition 3: type layout metadata query (upstream datatype layout, C)
builtin	_Isconcretetype	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	IsdefinedModuleBinding	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Isdir	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Isequal	pure-julia-first	Pure Julia definition owns the public name (base/abstractarray.jl); Rust handler is a dispatch fallback / fast path
builtin	IsExported	intrinsic	condition 3: module binding table reflection (upstream `jl_module_exports_p`, C)
builtin	Isfile	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Isless	pure-julia-first	Pure Julia definition owns the public name (base/missing.jl); Rust handler is a dispatch fallback / fast path
builtin	Islink	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	_Ismutabletype	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Isopen	pure-julia-first	Pure Julia definition owns the public name (base/channels.jl); Rust handler is a dispatch fallback / fast path
builtin	Ispath	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	_Isprimitivetype	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	IsPublic	intrinsic	condition 3: module binding table reflection (upstream C)
builtin	_Isstructtype	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Isunordered	pure-julia-first	Pure Julia definition owns the public name (base/missing.jl); Rust handler is a dispatch fallback / fast path
builtin	IsvalidIndex	pure-julia-first	Pure Julia definition owns the public name (base/strings/basic.jl); Rust handler is a dispatch fallback / fast path
builtin	Iterate	pure-julia-first	Pure Julia definition owns the public name (base/channels.jl); Rust handler is a dispatch fallback / fast path
builtin	Keytype	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	Ldiv	intrinsic	condition 2 (RUST_BOUNDARY §4 LinearAlgebra): dense solve is a BLAS/LAPACK-equivalent external-kernel boundary
builtin	LeadingZeros	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Length	pure-julia-first	Pure Julia definition owns the public name (base/abstractarray.jl); Rust handler is a dispatch fallback / fast path
builtin	LineNumberNodeNew	intrinsic	condition 3: LineNumberNode is a VM AST node type
builtin	LinRange	pure-julia-first	Pure Julia definition owns the public name (base/range.jl); Rust handler is a dispatch fallback / fast path
builtin	LinspaceF64	intrinsic	underscored range-construction primitive for typed Float64 linspace storage; public range APIs are Pure Julia wrappers
builtin	Lu	pure-julia-first	Pure Julia definition owns the public name (stdlib/LinearAlgebra/src/LinearAlgebra.jl); Rust handler is a dispatch fallback / fast path
builtin	MacroExpand	intrinsic	condition 3: macroexpansion runs the Rust lowering pipeline
builtin	MacroExpandBang	intrinsic	condition 3: macroexpansion runs the Rust lowering pipeline
builtin	_MakeTupleType	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	MarkBitArray	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	MarkBitVector	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	MemoryRefGet	intrinsic	condition 3: `memoryrefget` is a C builtin/intrinsic in upstream; GC-managed memory access
builtin	MemoryRefNew	intrinsic	condition 3: `memoryref` is a C builtin in upstream (julia/src/builtins.c); GC-managed memory access
builtin	MemoryRefOffset	intrinsic	condition 3: `memoryrefoffset` is a C builtin/intrinsic in upstream
builtin	MemoryRefParent	intrinsic	condition 3: `memoryrefparent` is a C builtin/intrinsic in upstream
builtin	MemoryRefSet	intrinsic	condition 3: `memoryrefset!` is a C builtin/intrinsic in upstream; GC-managed memory access
builtin	MetaIsBinaryOperator	intrinsic	condition 3: queries operator tables owned by the Rust parser (subset_julia_vm_parser)
builtin	MetaIsExpr	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	MetaIsIdentifier	intrinsic	condition 3: queries identifier rules owned by the Rust parser
builtin	MetaIsOperator	intrinsic	condition 3: queries operator tables owned by the Rust parser
builtin	MetaIsPostfixOperator	intrinsic	condition 3: queries operator tables owned by the Rust parser
builtin	MetaIsUnaryOperator	intrinsic	condition 3: queries operator tables owned by the Rust parser
builtin	MetaLower	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	MetaParse	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	MetaParseAt	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	MetaQuot	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	_MethodsByFtype	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Mkdir	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Mkpath	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	_ModuleName	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Mtime	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Mv	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Names	intrinsic	condition 3: module binding table reflection (upstream jl_module_names, C)
builtin	Ncodeunits	intrinsic	condition 3: String byte length from VM-owned storage (upstream `Core.sizeof` builtin)
builtin	Ndims	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	NegAny	intrinsic	underscored `_neg_any` internal dynamic-negation fallback; public unary `-` methods are Pure Julia or typed instrs (Issue #8777)
builtin	NonMissingType	pure-julia-first	Public `nonmissingtype` lives in base/missing.jl and calls internal `_nonmissingtype`; Rust remains a type-lattice boundary until `typesplit` is represented in Julia (Issue #8779)
builtin	Normpath	migratable	pure string manipulation, no OS query; upstream base/path.jl is pure Julia
builtin	NotEgal	intrinsic	underscored `_not_egal` fallback for identity non-equality; public `!==` routes through Pure Julia/operator lowering over `===` (Issue #8777)
builtin	Objectid	intrinsic	condition 3: object identity hash needs VM object layout (upstream jl_object_id, C)
builtin	Occursin	pure-julia-first	Pure Julia definition owns the public name (base/strings/search.jl); Rust handler is a dispatch fallback / fast path
builtin	One	pure-julia-first	Pure Julia definition owns the public name (base/complex.jl); Rust handler is a dispatch fallback / fast path
builtin	Ones	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	OnesF64	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	OnesI64	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	Open	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Pop	pure-julia-first	Pure Julia definition owns the public name (base/dict.jl); Rust handler is a dispatch fallback / fast path
builtin	PopFirst	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	Precompile	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Prepend	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	Print	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	PrintfFmtFloat	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Println	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Position	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): IO stream position query boundary
builtin	Promote	pure-julia-first	Pure Julia definition owns the public name (base/promotion.jl); Rust handler is a dispatch fallback / fast path
builtin	Push	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	PushFirst	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	Pwd	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Qr	pure-julia-first	Pure Julia definition owns the public name (stdlib/LinearAlgebra/src/LinearAlgebra.jl); Rust handler is a dispatch fallback / fast path
builtin	QuoteNodeNew	intrinsic	condition 3: QuoteNode is a VM AST node type
builtin	Rand	intrinsic	condition 1 (RUST_BOUNDARY §2 乱数): RNG state/entropy is a VM-shared external resource
builtin	RandInt	intrinsic	condition 1 (RUST_BOUNDARY §2 乱数): RNG state/entropy is a VM-shared external resource
builtin	Randn	intrinsic	condition 1 (RUST_BOUNDARY §2 乱数): RNG state/entropy is a VM-shared external resource
builtin	RangeCollect	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	RangeNew	pure-julia-first	Pure Julia definition owns the public name (base/range.jl); Rust handler is a dispatch fallback / fast path
builtin	RangeStep	intrinsic	internal `_range_step` extracts the VM Range carrier's typed step for Pure Julia range wrappers (Issue #9933)
builtin	Rank	pure-julia-first	Pure Julia definition owns the public name (stdlib/LinearAlgebra/src/LinearAlgebra.jl); Rust handler is a dispatch fallback / fast path
builtin	Readdir	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	ReadCharIo	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): IO stream read boundary — filesystem/stream access
builtin	ReadFile	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Readline	migratable	upstream readline is pure Julia (base/io.jl) over stream read primitives
builtin	ReadlineIo	migratable	upstream readline is pure Julia (base/io.jl) over stream read primitives
builtin	ReadLines	migratable	upstream readlines is pure Julia (base/io.jl) over stream read primitives
builtin	RefNew	pure-julia-first	Public `Ref(x)` lives in base/refvalue.jl and calls internal `_ref_new`; Rust allocates the VM Ref cell backing (Issue #8779)
builtin	RefUnwrap	pure-julia-first	Public `getindex(x::Ref)` lives in base/refvalue.jl and calls internal `_ref_get`; Rust reads the VM Ref cell backing (Issue #8779)
builtin	RegexEachmatch	intrinsic	condition 2: wraps the Rust `regex` crate (upstream wraps PCRE2 via ccall)
builtin	RegexMatch	intrinsic	condition 2: wraps the Rust `regex` crate (upstream wraps PCRE2 via ccall)
builtin	RegexNew	intrinsic	condition 2: wraps the Rust `regex` crate (upstream wraps PCRE2 via ccall)
builtin	RegexOccursin	pure-julia-first	Pure Julia definition owns the public name (base/strings/search.jl); Rust handler is a dispatch fallback / fast path
builtin	RegexReplace	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	RegexSplit	pure-julia-first	Pure Julia definition owns the public name (base/strings/util.jl); Rust handler is a dispatch fallback / fast path
builtin	Reinterpret	intrinsic	condition 3: bit-level reinterpretation of VM value storage (upstream bitcast intrinsic)
builtin	Repr	pure-julia-first	Pure Julia definition owns the public name (base/io.jl); Rust handler is a dispatch fallback / fast path
builtin	Reshape	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	_ReturnTypesByFtype	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Rm	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Round	pure-julia-first	Pure Julia definition owns the public name (base/floatfuncs.jl); Rust handler is a dispatch fallback / fast path
builtin	RoundDigits	pure-julia-first	Pure Julia definition owns the public name (base/floatfuncs.jl); Rust handler is a dispatch fallback / fast path
